Wall time,Step,Value
1533060384.6746504,0,15.37447738647461
1533060571.995983,1,10.87618350982666
1533060753.38215,2,5.289341449737549
1533060934.2250426,3,2.2566041946411133
1533061114.9797873,4,1.4683629274368286
1533061295.6423748,5,1.1557137966156006
1533061476.8138146,6,1.6059105396270752
1533061657.333675,7,0.8476994037628174
1533919122.5100038,8,5.59249210357666
1533919644.1492858,9,1.9615750312805176
1533920162.0055532,10,1.294633388519287
1533920681.1965961,11,1.0580132007598877
1533921202.3384738,12,1.004638671875
1533921722.2649243,13,0.9217807650566101
1533922241.3711574,14,0.8112591505050659
1533922760.956389,15,0.7742065191268921
1533923280.5179758,16,0.7208396792411804
1533923798.2016282,17,0.6800245046615601
1533924317.9162726,18,0.624330461025238
1533924836.5178244,19,0.621488630771637
1533925356.9239714,20,0.6309945583343506
1533925875.6557794,21,0.6033088564872742
1533926395.1889348,22,0.5412285923957825
