Wall time,Step,Value
1533063127.3712409,0,15.44467830657959
1533063317.256036,1,12.712796211242676
1533063499.3360302,2,10.565570831298828
1533063680.924866,3,7.703956127166748
1533063862.3170521,4,4.850952625274658
1533064043.836632,5,2.8508410453796387
1533064224.8993742,6,2.011373996734619
1533064405.9226,7,1.5827431678771973
1533064587.03499,8,1.4240611791610718
1533064768.0269814,9,1.2331863641738892
1533064948.9593847,10,1.0822192430496216
1533065129.9291143,11,0.9454451203346252
1533065311.0155606,12,1.1106162071228027
1533065492.194418,13,0.8163260817527771
1533065673.243069,14,0.8055036664009094
1533065854.1604226,15,0.7108349204063416
1533066035.352578,16,0.7274604439735413
1533066216.52229,17,0.6719693541526794
1533066397.856194,18,1.119397521018982
1533066578.7819605,19,0.5361074209213257
