Wall time,Step,Value
1533060384.6746504,0,15.37447738647461
1533060571.995983,1,10.87618350982666
1533060753.38215,2,5.289341449737549
1533060934.2250426,3,2.2566041946411133
1533061114.9797873,4,1.4683629274368286
1533061295.6423748,5,1.1557137966156006
1533061476.8138146,6,1.6059105396270752
1533061657.333675,7,0.8476994037628174
1533926939.4401386,8,5.2578935623168945
1533927451.097554,9,1.6788431406021118
1533927961.1825185,10,1.1617870330810547
1533928471.9599283,11,0.9790535569190979
1533928983.0017943,12,0.8874141573905945
1533929493.8985336,13,0.8342251777648926
1533930004.344191,14,0.6991122961044312
1533930515.32605,15,0.6340939998626709
1533931025.5451198,16,0.622231662273407
1533931537.850919,17,0.608691394329071
1533932049.1981404,18,0.5621175169944763
1533932559.911581,19,0.5638450980186462
1533933070.5582519,20,0.5309340953826904
1533933581.8800967,21,0.49215787649154663
1533934091.78771,22,0.5177100300788879
