Wall time,Step,Value
1533067361.882334,0,11.878899574279785
1533068112.4841187,1,5.7482476234436035
1533068850.712242,2,3.4661171436309814
1533069590.3067403,3,2.42611026763916
1533070330.1008642,4,1.8233364820480347
1533071069.72219,5,1.4962103366851807
1533071809.3557522,6,1.2897533178329468
1533072547.7625391,7,1.1264002323150635
1533073288.0107157,8,1.0287586450576782
1533074028.3938866,9,0.9817919135093689
1533074766.7325063,10,0.957396924495697
1533075507.5088503,11,0.792854368686676
1533076247.7271926,12,0.8072186708450317
1533076986.239132,13,0.7301127910614014
1533077726.1752932,14,0.6960190534591675
1533078464.4730716,15,0.7019040584564209
1533079202.2420988,16,0.7048201560974121
1533079941.978813,17,0.5715125799179077
1533080680.9302406,18,0.6286953091621399
1533081420.0392988,19,0.6809610724449158
1533082158.232331,20,0.5140730142593384
1533082897.9114807,21,0.5907633304595947
1533083636.8346808,22,0.4937308430671692
1533084376.117938,23,0.5443158745765686
1533085114.5755281,24,0.5411292910575867
1533085852.4540205,25,0.514201819896698
1533086593.7611668,26,0.4377991855144501
1533087334.425296,27,0.47010618448257446
1533088071.8640802,28,0.48291707038879395
1533088811.9742827,29,0.424266517162323
1533089550.176025,30,0.479382187128067
1533090289.4538121,31,0.420949786901474
1533091028.508192,32,0.45749542117118835
1533091767.54624,33,0.4417094588279724
1533092508.4954317,34,0.39073503017425537
1533093247.7161896,35,0.44127532839775085
1533093988.0869899,36,0.37460029125213623
1533094728.389658,37,0.4835141897201538
1533095468.699204,38,0.35457178950309753
1533096209.8274314,39,0.36129048466682434
1533096948.7312326,40,0.43878433108329773
1533097688.685309,41,0.3443792760372162
1533098427.8907895,42,0.3478027880191803
1533099167.0386014,43,0.4063388705253601
1533099908.3275416,44,0.33896616101264954
1533100646.6817157,45,0.38417139649391174
1533101385.637348,46,0.34821397066116333
1533102125.8190296,47,0.3223949074745178
1533102865.44628,48,0.40764179825782776
1533103606.3995473,49,0.3140560984611511
1533104344.4652822,50,0.32713353633880615
1533105082.018222,51,0.3745602071285248
1533105821.2769344,52,0.3030319809913635
1533106562.634686,53,0.3552749454975128
1533107301.7350235,54,0.309190034866333
1533108042.249747,55,0.35255566239356995
1533108783.2869809,56,0.2969744801521301
1533109523.715406,57,0.31379592418670654
1533110263.388261,58,0.38100939989089966
1533111003.7064276,59,0.2782333195209503
1533111743.747896,60,0.3003365397453308
1533112483.8600767,61,0.3080883324146271
1533113223.0864196,62,0.31928402185440063
1533113964.170061,63,0.3316543996334076
1533114705.6194675,64,0.2802221477031708
1533115445.256342,65,0.28252974152565
1533116184.6690984,66,0.30176687240600586
1533116927.9692662,67,0.34518420696258545
1533117668.9237964,68,0.27197974920272827
1533118411.3637495,69,0.2717140018939972
