Wall time,Step,Value
1533634910.9853828,0,17.03705596923828
1533635654.4266572,1,8.309430122375488
1533636391.1390555,2,3.5778069496154785
1533637129.5069482,3,1.9036343097686768
1533637865.9391053,4,1.54885733127594
1533638602.7747564,5,1.2497100830078125
1533639340.5886817,6,1.3053169250488281
1533640076.9753697,7,1.1057159900665283
1533640814.3491976,8,0.9708303809165955
1533641552.6022124,9,0.8761786222457886
1533642289.1644588,10,0.8853934407234192
1533643025.7518153,11,0.8139070868492126
1533643763.5029638,12,0.8708101511001587
1533644500.7449846,13,0.6956667900085449
1533645238.2669125,14,0.8440964221954346
