Wall time,Step,Value
1533143809.6330826,0,12.96059513092041
1533144845.3185663,1,9.256538391113281
1533145868.0720756,2,7.693835735321045
1533146889.3820605,3,6.674868106842041
1533147912.3993223,4,5.914218425750732
1533148935.9307501,5,5.326097011566162
1533149957.8429017,6,4.8600873947143555
1533150981.2854486,7,4.428734302520752
1533152004.6825202,8,4.151465892791748
1533153027.0898948,9,3.9175240993499756
1533154049.984998,10,3.6663267612457275
1533155072.0344906,11,3.4687366485595703
1533156095.8852596,12,3.294553756713867
1533157119.3592176,13,3.115607976913452
1533158141.776828,14,2.9869301319122314
1533159165.3259206,15,2.895092725753784
1533160188.1423337,16,2.785473585128784
1533161212.8582833,17,2.6591851711273193
1533162234.9503627,18,2.614266872406006
1533163256.1441782,19,2.5114054679870605
1533164277.7257886,20,2.4269187450408936
1533165300.060128,21,2.3587534427642822
1533166320.9258466,22,2.318136692047119
1533167343.9782567,23,2.2633631229400635
1533168368.3990948,24,2.1821367740631104
1533169392.0562713,25,2.136058807373047
1533170415.5341957,26,2.1082022190093994
1533171438.837001,27,2.080172300338745
1533172462.0019138,28,2.0047361850738525
1533173485.938439,29,1.9368945360183716
1533174510.2773147,30,1.9715003967285156
1533175532.3292756,31,1.8900033235549927
1533176555.189802,32,1.864608883857727
1533177576.505948,33,1.8466672897338867
1533178597.8020656,34,1.7730112075805664
1533179618.5449843,35,1.778873324394226
1533180640.951641,36,1.7631840705871582
1533181663.490941,37,1.7126574516296387
1533182686.0054758,38,1.6818530559539795
1533183708.1520498,39,1.6984171867370605
1533184730.2427378,40,1.64775812625885
1533185751.946828,41,1.6485551595687866
1533186773.186592,42,1.5850343704223633
1533187794.8922358,43,1.584877371788025
1533188816.8243668,44,1.580650806427002
1533189839.248174,45,1.5530519485473633
1533190861.4335685,46,1.5498812198638916
1533191884.5157592,47,1.5126749277114868
1533192907.4498253,48,1.510330080986023
1533193931.6179273,49,1.4850544929504395
1533194954.828309,50,1.4786542654037476
1533195976.4456396,51,1.4810192584991455
1533196999.7722406,52,1.4378823041915894
1533198023.0658932,53,1.418813943862915
1533199046.2764409,54,1.41916024684906
1533200070.5873787,55,1.4078847169876099
1533201094.570824,56,1.4010016918182373
1533202118.3817592,57,1.3911402225494385
1533203143.3396285,58,1.3643543720245361
1533204168.8979383,59,1.3486415147781372
1533205194.789488,60,1.3516411781311035
1533206219.2413077,61,1.3586978912353516
1533207244.6833744,62,1.323722004890442
1533208268.4394388,63,1.3550333976745605
1533209294.0709608,64,1.2935901880264282
1533210319.912265,65,1.320509672164917
1533211344.773999,66,1.2852554321289062
1533212369.9594014,67,1.2847604751586914
1533213394.8380783,68,1.2835583686828613
1533214420.788419,69,1.2764174938201904
