Wall time,Step,Value
1533309864.955352,0,17.14778709411621
1533310760.3967361,1,13.628746032714844
1533311635.5420732,2,11.200057983398438
1533312510.2768402,3,5.659958839416504
1533313385.8130155,4,2.256598711013794
1533314261.18099,5,1.1917672157287598
1533315136.9653664,6,0.934629499912262
1533316012.5177429,7,1.297908067703247
1533316887.8794696,8,1.1280019283294678
1533317763.0835595,9,0.6645317077636719
1533318638.3027318,10,0.560915470123291
1533319513.0740135,11,0.815632164478302
1533320388.1337101,12,0.6330294609069824
1533321263.1668875,13,0.5314347147941589
1533322138.26605,14,0.6614170670509338
