Wall time,Step,Value
1528527304.6710498,0,13.782848358154297
1528528218.0522804,1,12.055654525756836
1528529128.0103102,2,11.65887451171875
1528530037.7504358,3,11.462894439697266
1528530949.013726,4,11.350034713745117
1528531860.0955873,5,10.959796905517578
1528532770.1413128,6,10.406441688537598
1528533680.2906125,7,9.985517501831055
1528534589.9137704,8,9.509523391723633
1528535499.9831755,9,8.643071174621582
1528536410.970924,10,7.759041786193848
1528537322.0267146,11,7.158356189727783
1528538232.8124478,12,6.797811508178711
1528539143.530087,13,6.4960618019104
1528540054.4366167,14,6.2912797927856445
1528540966.782083,15,6.124336242675781
1528541879.571925,16,5.939648628234863
1528542792.5174868,17,5.717996597290039
1528543705.401224,18,5.623868942260742
1528544618.1403134,19,5.4893951416015625
1528545530.1417592,20,5.396597862243652
1528546442.3875957,21,5.2675676345825195
1528547355.3117175,22,5.129321575164795
1528548268.0273037,23,5.0714240074157715
1528549180.8988569,24,4.963315010070801
1528550093.4663692,25,4.849376201629639
1528551006.243304,26,4.784300804138184
1528551919.0885127,27,4.758578300476074
1528552832.173872,28,4.660464286804199
1528553745.6773596,29,4.56006383895874
1528554659.8342936,30,4.503660678863525
1528555573.3493674,31,4.42204475402832
1528556486.536259,32,4.4270172119140625
1528557399.5105634,33,4.335204124450684
1528558312.2452796,34,4.272312641143799
1528559225.2214746,35,4.179128646850586
1528560137.4235168,36,4.1473188400268555
1528561050.28322,37,4.111250877380371
1528561962.6807323,38,4.042983531951904
1528562875.053616,39,4.0497894287109375
1528563787.6133826,40,3.9491002559661865
1528564700.415529,41,3.906125068664551
1528565612.677342,42,3.9104108810424805
1528566525.1864448,43,3.8531203269958496
1528567437.2712066,44,3.82483172416687
1528568349.633919,45,3.7639763355255127
1528569262.0195177,46,3.7472174167633057
1528570174.2844396,47,3.7178232669830322
1528571086.2091806,48,3.66292667388916
1528571997.6356568,49,3.6734225749969482
1528572909.089913,50,3.610708236694336
1528573820.5623035,51,3.6019349098205566
1528574731.701519,52,3.554636240005493
1528575642.6594095,53,3.518721580505371
1528576553.6176298,54,3.479867935180664
1528577464.696673,55,3.463198661804199
1528578375.4212856,56,3.4646592140197754
1528579286.0456142,57,3.446540594100952
1528580196.6038344,58,3.364746332168579
1528581107.1192286,59,3.367305278778076
1528582040.985797,60,3.321268081665039
1528582951.5775497,61,3.3118362426757812
1528583861.5408947,62,3.2910215854644775
1528584771.8983722,63,3.27736759185791
1528585681.6738806,64,3.860635995864868
1528586591.6962638,65,3.252425193786621
1528587501.7117033,66,3.1780190467834473
1528588411.114345,67,3.172910451889038
1528589320.7358623,68,3.177870035171509
1528590229.8028097,69,3.1470789909362793
1528591138.8175416,70,3.1413018703460693
1528592047.4286187,71,3.087662935256958
1528592956.0722997,72,3.049443244934082
1528593864.75897,73,3.078819751739502
1528594773.038998,74,3.0436291694641113
1528595681.3574448,75,3.019920825958252
1528596589.3463745,76,7.574056625366211
1528597497.5560844,77,3.3211870193481445
1528598406.3337824,78,3.0577282905578613
1528599314.0806134,79,3.0067636966705322
1528600248.8203983,80,2.9946329593658447
1528601158.7228415,81,4.286121368408203
1528602068.6244028,82,5.243605613708496
1528602977.6781015,83,2.984628438949585
1528603887.2265043,84,2.9246182441711426
1528604797.1560624,85,2.897888660430908
1528605707.1170168,86,2.8640806674957275
1528606617.3252177,87,2.8650131225585938
1528607527.072696,88,2.828878402709961
1528608437.723555,89,2.809023380279541
1528609348.6519105,90,2.812716484069824
1528610260.7294679,91,2.8233771324157715
1528611171.9817123,92,2.7906291484832764
1528612084.3162694,93,2.8048574924468994
1528612996.471585,94,2.7505061626434326
1528613934.848988,95,2.737234354019165
1528614847.0596604,96,2.737889051437378
1528615760.1078322,97,2.692734956741333
1528616672.8506167,98,2.712114095687866
