Wall time,Step,Value
1533133701.1780562,0,15.70965576171875
1533133900.5221343,1,12.958550453186035
1533134086.4015,2,11.267621040344238
1533134271.5715654,3,9.0496187210083
1533134456.466009,4,7.1822028160095215
1533134640.8807492,5,5.5985918045043945
1533134825.288566,6,4.515493392944336
1533135009.758786,7,3.7073988914489746
1533135194.3692515,8,3.134878635406494
1533135378.5578485,9,2.611809015274048
1533135562.5824664,10,2.2326762676239014
1533135746.5904758,11,1.985814094543457
1533135930.8538826,12,1.7812974452972412
1533136115.0715206,13,1.7093212604522705
1533136299.4415162,14,1.4612752199172974
1533136483.7643085,15,1.4356896877288818
1533136667.8946238,16,1.3561228513717651
1533136852.337207,17,1.2888925075531006
1533137037.0675638,18,1.240273118019104
1533137221.1051712,19,1.1070700883865356
1533137405.6186903,20,1.1281288862228394
1533137589.718009,21,0.9682861566543579
1533137773.9811304,22,1.1037986278533936
1533137957.928143,23,0.8900344371795654
1533138141.9849126,24,1.1129610538482666
1533138326.2317162,25,0.8058090806007385
1533138510.1476452,26,0.8765518665313721
1533138694.369527,27,0.8780644536018372
1533138878.5994692,28,0.7635443210601807
1533139063.032003,29,0.9469996690750122
1533139247.3179655,30,0.7122925519943237
1533139431.5868125,31,0.8165846467018127
1533139615.706433,32,0.6469210386276245
1533139800.0073185,33,0.6752058267593384
1533139984.3846202,34,0.9029743075370789
1533140168.5446665,35,0.5951730608940125
1533140352.7066247,36,0.7179962992668152
1533140536.7616398,37,0.6253647208213806
1533140720.7330678,38,0.5990990400314331
1533140904.6231897,39,0.7468558549880981
1533141088.603839,40,0.558817982673645
1533141272.7610595,41,0.5583465099334717
1533141456.8252497,42,0.7636637091636658
1533141640.9749334,43,0.5201181769371033
1533141825.0263665,44,0.541512668132782
1533142008.8763978,45,0.5461214780807495
1533142192.9980729,46,0.6728730797767639
1533142376.9303305,47,0.5012629628181458
1533142560.9888008,48,0.4987272322177887
1533142744.9446616,49,0.6914814710617065
