Wall time,Step,Value
1533463162.1520603,0,18.00937843322754
1533464071.6826165,1,13.961784362792969
1533464937.5080676,2,13.047831535339355
1533465803.0646267,3,11.752948760986328
1533466668.3476684,4,9.987168312072754
1533467533.8712704,5,7.744607448577881
1533468399.1622167,6,5.715785026550293
1533469264.4396439,7,4.422466278076172
1533470129.7919362,8,3.5232536792755127
1533470995.2264767,9,3.2334232330322266
1533471860.6056554,10,2.261728048324585
1533472725.8537853,11,1.8723018169403076
1533473590.6852942,12,1.626306176185608
1533474455.8246706,13,1.4319514036178589
1533475321.1106074,14,1.2669224739074707
1533476186.3439515,15,1.1358106136322021
1533477051.539672,16,1.0241022109985352
1533477916.4980967,17,1.009566068649292
1533478781.5270948,18,0.8919020891189575
1533479646.7236557,19,0.8071436285972595
1533480511.7499144,20,0.8380621671676636
1533481376.7650948,21,0.7087082862854004
1533482241.7568867,22,0.7986406087875366
1533483107.027729,23,0.7632744908332825
1533483972.2950842,24,0.5723038911819458
1533484837.3962455,25,0.7399049997329712
1533485702.3729386,26,0.5018243789672852
1533486567.4483,27,0.5519465804100037
1533487432.5480087,28,0.6875200867652893
1533488297.4379683,29,0.4266926348209381
1533489162.7721453,30,0.786487877368927
1533490027.7526681,31,0.4362221956253052
1533490892.5977962,32,0.39563146233558655
1533491757.6778076,33,0.7312731742858887
1533492622.7621815,34,0.4078514575958252
1533493488.1345196,35,0.37942197918891907
1533494353.3505924,36,0.5917190313339233
1533495218.6022692,37,0.37407949566841125
1533496083.6911254,38,0.38013359904289246
1533496949.2960453,39,0.6017137765884399
1533497814.499679,40,0.33481714129447937
1533498679.6696951,41,0.5033310651779175
1533499544.7244148,42,0.33473241329193115
1533500409.8366973,43,0.3407646417617798
1533501274.863978,44,0.5766721367835999
1533502139.7856507,45,0.3240230679512024
1533503004.8429246,46,0.2993883788585663
1533503870.0293427,47,0.5701169967651367
1533504734.820613,48,0.3183484971523285
1533505599.9425056,49,0.3014655113220215
